symbol,set_id,strategy,action,entry_price,stop_loss,take_profit,position_size,dollar_risk,exit_price,exit_reason,r_multiple,pnl
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1673.25,1701.49625,1505.68,0.37006307,10.4529,1665.25,MTF_CHOCH_EXIT,0.2832,2.9605
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1665.25,1697.620357,1505.68,0.32383019,10.4825,1681.73,MTF_CHOCH_EXIT,-0.5091,-5.3367
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1681.73,1701.641429,1505.68,0.52377617,10.4291,1701.641429,SL_HIT,-1.0,-10.4291
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1725.62,1736.522321,1505.68,0.94703138,10.3248,1720.78,MTF_CHOCH_EXIT,0.4439,4.5836
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1584.78,1594.898571,1747.8,1.02491511,10.3707,1747.8,TP_HIT,-16.111,-167.0817
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1580.16,1595.1025,1747.8,0.58222253,8.6999,1747.8,TP_HIT,-11.219,-97.6038
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1574.93,1595.129821,1747.8,0.38237082,7.7238,1595.129821,SL_HIT,-1.0,-7.7238
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1580.26,1603.173214,1747.8,0.3337194,7.6466,1603.173214,SL_HIT,-1.0,-7.6466
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1625.6,1644.483393,1747.8,0.40088761,7.5701,1747.8,TP_HIT,-6.4713,-48.9885
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1613.07,1644.298393,1747.8,0.22672424,7.0802,1747.8,TP_HIT,-4.3143,-30.5466
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1569.89,1611.018214,1747.8,0.16472313,6.7748,1611.018214,SL_HIT,-1.0,-6.7748
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1620.09,1638.693214,1747.8,0.36053019,6.707,1747.8,TP_HIT,-6.8649,-46.0433
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1618.09,1638.781429,1747.8,0.30189251,6.2466,1638.781429,SL_HIT,-1.0,-6.2466
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1639.47,1653.676429,1747.8,0.43530444,6.1841,1747.8,TP_HIT,-7.6254,-47.1565
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1650.32,1665.319821,1747.8,0.38084161,5.7126,1665.319821,SL_HIT,-1.0,-5.7126
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1801.22,1809.19625,1747.8,0.70903376,5.6554,1809.19625,SL_HIT,-1.0,-5.6554
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1820.93,1835.517857,1747.8,0.38380388,5.5989,1835.517857,SL_HIT,-1.0,-5.5989
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1845.56,1861.82,1747.8,0.34089099,5.5429,1861.82,SL_HIT,-1.0,-5.5429
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1858.45,1872.825714,1747.8,0.38171728,5.4875,1872.825714,SL_HIT,-1.0,-5.4875
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1867.08,1882.261786,1747.8,0.35783564,5.4326,1882.261786,SL_HIT,-1.0,-5.4326
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1879.94,1895.495179,1747.8,0.34575355,5.3783,1895.495179,SL_HIT,-1.0,-5.3783
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1893.2,1901.361964,1747.8,0.65235222,5.3245,1901.361964,SL_HIT,-1.0,-5.3245
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1902.34,1910.570357,1747.8,0.64046198,5.2712,1910.570357,SL_HIT,-1.0,-5.2712
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1898.46,1924.184464,1747.8,0.20286209,5.2185,1924.184464,SL_HIT,-1.0,-5.2185
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1935.69,1959.342143,1747.8,0.21842982,5.1663,1928.77,MTF_CHOCH_EXIT,0.2926,1.5115
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1928.77,1959.607321,1747.8,0.16802525,5.1814,1920.55,MTF_CHOCH_EXIT,0.2666,1.3812
ETHUSDT,SET_2_POSITIONAL,A_PULLBACK_RIDING,SELL,1920.55,1962.325,1747.8,0.1243629,5.1953,1880.67,MTF_CHOCH_EXIT,0.9546,4.9596
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1573.53,1585.950893,1505.68,0.8050951,10.0,1585.950893,SL_HIT,-1.0,-10.0
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1584.78,1593.91875,1505.68,1.08329914,9.9,1575.5,MTF_CHOCH_EXIT,1.0155,10.053
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1583.1,1594.180179,1505.68,0.90256038,10.0005,1572.98,MTF_CHOCH_EXIT,0.9133,9.1339
ETHUSDT,SET_3_SWING,A_PULLBACK_RIDING,SELL,1578.6,1593.901607,1505.68,0.65953002,10.0919,1593.901607,SL_HIT,-1.0,-10.0919
ETHUSDT,SET_3_SWING,B_CONTINUATION_RIDING,SELL,1736.38,1754.819286,1654.9,0.54182959,9.991,1736.42,MTF_CHOCH_EXIT,-0.0022,-0.0217
